Fase I,Fase II,Fase Combinada,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23,Hora 24
0.0,0.0,0.0,23.81,19.05,19.05,14.29,9.52,9.52,4.76,9.52,9.09,10.91,13.64,16.36,32.05,35.17,28.93,30.91,35.45,43.04,51.65,51.42,45.63,48.14,59.5,57.51
0.0,0.0,0.0,40.27,33.66,27.92,23.42,17.11,16.34,16.93,19.5,23.06,18.67,16.8,16.19,15.88,31.0,34.01,21.22,28.15,42.97,51.04,54.07,55.59,55.76,55.45,53.92
0.0,0.0,0.0,47.05,35.16,30.03,24.76,21.58,23.77,26.82,28.67,31.21,30.57,32.19,29.01,21.29,19.4,23.64,32.26,33.34,35.45,40.75,44.0,47.65,43.96,46.01,47.36
0.0,0.0,0.0,48.04,45.4,41.65,45.99,49.51,29.06,51.72,52.53,51.84,54.26,56.08,52.09,40.13,33.7,33.54,40.0,45.45,49.09,49.09,47.27,46.36,41.82,40.3,40.81
0.0,0.0,0.0,51.67,57.57,53.47,56.67,52.68,46.68,39.25,48.85,39.68,32.78,34.43,31.64,35.65,43.18,48.38,55.82,60.79,63.28,62.75,62.09,58.81,59.14,59.5,56.53
0.0,0.0,0.0,81.82,94.63,101.66,108.72,123.89,139.32,128.92,121.36,120.34,125.34,126.07,127.37,123.31,102.19,87.31,89.72,83.04,93.88,86.36,85.45,81.62,82.93,84.57,85.37
0.0,0.0,0.0,68.78,54.97,41.14,31.11,29.62,24.21,18.92,24.71,28.58,29.54,26.12,23.06,21.29,19.66,14.55,17.27,19.09,21.82,22.73,22.67,24.65,24.66,24.99,26.78
0.0,0.0,0.0,31.25,32.95,33.8,33.41,32.13,28.71,36.03,38.12,41.09,53.45,66.1,81.49,102.57,108.19,98.98,91.82,77.61,63.82,57.27,53.64,48.18,38.18,32.19,28.1
0.0,0.0,0.0,14.03,16.74,19.44,18.92,17.03,17.28,18.05,24.94,29.03,30.75,41.68,48.76,52.4,46.45,41.41,37.59,40.23,38.18,38.18,38.38,37.25,42.82,53.31,55.55
0.0,0.0,0.0,51.88,43.63,40.55,41.09,41.64,44.46,46.64,44.31,46.03,57.12,66.36,63.31,57.84,51.77,40.73,32.73,37.27,38.18,40.04,40.8,36.6,31.69,29.8,27.23
0.0,0.0,0.0,32.4,40.38,46.82,46.14,51.05,54.47,55.79,61.57,67.41,64.81,73.16,83.44,84.25,70.48,69.11,64.88,59.61,59.74,72.0,74.0,63.38,58.67,49.98,43.16
0.0,0.0,0.0,53.26,54.26,57.55,59.86,70.02,74.39,73.42,76.08,81.16,90.98,97.86,110.56,131.08,144.88,130.33,107.5,97.84,96.56,97.11,92.45,90.13,91.52,92.42,92.27
0.0,0.0,0.0,83.93,74.01,66.11,59.37,52.72,48.97,39.73,37.39,38.81,45.37,54.71,57.28,71.95,74.96,85.91,89.22,86.35,75.47,66.68,59.33,59.99,70.55,75.05,74.14
0.0,0.0,0.0,85.7,81.8,78.37,75.02,67.11,68.6,70.72,75.88,83.16,90.14,81.96,65.19,40.1,27.27,20.03,20.97,23.22,21.82,21.82,20.0,18.18,16.36,14.55,13.64
0.0,0.0,0.0,13.64,13.64,13.64,14.55,16.36,16.36,16.36,14.55,13.64,12.73,12.73,12.73,12.73,16.3,17.91,15.15,14.55,14.59,14.44,14.66,13.06,12.5,11.12,10.91
0.0,0.0,0.0,9.09,10.0,10.0,10.91,12.73,12.73,10.91,18.52,25.5,29.63,30.73,29.65,28.79,23.49,23.11,21.3,20.91,24.32,22.88,28.32,31.05,35.33,36.82,33.34
0.0,0.0,0.0,29.66,29.98,25.54,23.32,21.73,25.43,32.12,37.53,40.52,34.55,42.92,35.1,36.36,14.94,18.18,22.73,26.36,28.18,28.18,27.27,26.1,23.76,22.27,22.5
0.0,0.0,0.0,20.99,18.34,18.1,15.82,12.24,14.24,16.53,22.55,34.01,36.81,37.56,27.87,27.27,36.36,13.64,19.09,24.55,29.09,30.91,30.91,28.19,35.2,40.98,45.49
0.0,0.0,0.0,54.95,47.63,46.01,47.36,38.02,40.76,46.68,55.31,58.57,59.41,60.23,61.62,58.18,51.15,28.2,28.18,34.55,38.18,40.0,37.27,42.0,42.75,48.32,42.99
